p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.007089295,2000,-0.007089295,1,-0.007089295,-0.007089295,0,0
0.9,0.1511653275,2000,-0.174225245,1,-0.007089295,-0.007089295,0.1582546226,-0.16713595
0.8,0.2842864188,2000,-0.311074571,1,-0.007089295,-0.007089295,0.2913757139,-0.303985276
0.7,0.4141662398,2000,-0.437925534,1,-0.007089295,-0.007089295,0.4212555349,-0.430836239
0.6,0.5442776429,2000,-0.5623879,1,-0.007089295,-0.007089295,0.5513669379,-0.555298605
0.5,0.679769206,2000,-0.693947061,1,-0.007089295,-0.007089295,0.6868585011,-0.686857765
0.4,0.8287470846,2000,-0.837039765,1,-0.007089295,-0.007089295,0.8358363797,-0.82995047
0.3,1.0059386664,2000,-0.997940182,1,-0.007089295,-0.007089295,1.0130279615,-0.990850887
0.2,1.2263507015,2000,-1.190036899,1,-0.007089295,-0.007089295,1.2334399966,-1.182947604
0.1,1.5439959016,2000,-1.477940466,1,-0.007089295,-0.007089295,1.5510851967,-1.470851171
