p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,5000,0.0044416392,OK,OPTIMAL,14,0.0044416391,OK,BEST_FE,1
0.9,5000,0.0744682955,OK,OPTIMAL,15,-0.065848135,OK,OPTIMAL,1
0.8,5000,0.1348885576,OK,OPTIMAL,17,-0.125377284,OK,OPTIMAL,1
0.7,5000,0.1922141244,OK,OPTIMAL,20,-0.182693923,OK,OPTIMAL,1
0.6,5000,0.2498876691,OK,OPTIMAL,23,-0.240534249,OK,OPTIMAL,1
0.5,5000,0.3091783164,OK,OPTIMAL,28,-0.300418697,OK,OPTIMAL,1
0.4,5000,0.3747817926,OK,OPTIMAL,35,-0.36661785,OK,OPTIMAL,1
0.3,5000,0.4488918296,OK,OPTIMAL,46,-0.441519737,OK,OPTIMAL,1
0.2,5000,0.5413074645,OK,OPTIMAL,70,-0.534946089,OK,OPTIMAL,1
0.1,5000,0.683992591,OK,OPTIMAL,140,-0.673035305,OK,OPTIMAL,1
